item;statement
29;Mógłbym/mogłabym podjąć pracę, której wykonywanie wiąże się z realnym niebezpieczeństwem.
30;Nie użył(a)bym pochlebstw aby uzyskać podwyżkę czy awans, nawet jeśli by to miało poskutkować. 
31;Lubię oglądać mapy różnych okolic.
32;Kiedy chcę osiągnąć jakiś cel jestem w stosunku do siebie bardzo wymagający/wymagająca.
33;Mam zrozumienie dla popełnianych przez innych błędów i powstrzymuję się od krytycznych uwag. 
34;Gdy jestem w grupie, zazwyczaj przejmuję inicjatywę.
35;Zamartwiam się znacznie mniej niż większość ludzi.
36;Gdybym był(a) w finansowych tarapatach, miał(a)bym pokusę kupienia rzeczy pochodzącej z kradzieży. 
37;Na pewno podobałaby mi się praca twórcza nad powieścią, obrazem czy piosenką. 
38;Kiedy pracuję nad czymś nie przywiązuję zwykle wagi do detali. 
39;Gdy ktoś się ze mną nie zgadza, jestem zwykle dość elastyczny w swoich przekonaniach.
40;Lubię mieć wokół siebie dużo ludzi, z którymi mogę porozmawiać.
41;Radzę sobie z trudnymi sytuacjami bez emocjonalnego wsparcia ze strony innych.
42;Chciał(a)bym mieszkać wśród prawdziwej elity w eleganckiej części miasta.
43;Lubię ludzi, którzy mają niekonwencjonalne poglądy.
44;Popełniam dużo błędów, ponieważ działam bez zastanowienia.
45;Rzadko odczuwam złość, nawet gdy ludzie źle mnie traktują.
46;Zazwyczaj jestem pogodna/y i optymistyczna/y.
47;Kiedy ktoś kogo dobrze znam jest nieszczęśliwy, to niemal czuję jego ból.
48;Nie chciał(a)bym aby ludzie traktowali mnie jakbym był(a) kimś ważniejszym.
49;Jeżeli nadarzyłaby się okazja chętnie poszedłbym/poszłabym na koncert muzyki klasycznej.
50;Ludzie często żartują sobie z bałaganu, jaki panuje na moim biurku czy w pokoju.
51;Jeżeli ktoś raz mnie oszuka, zawsze będę w stosunku do niego podejrzliwa/y.
52;Czuję, że nie jestem zbyt lubianą osobą. 
53;Jestem przerażony/przerażona, gdy grozi mi realne niebezpieczeństwo. 
54;Jeśli chcę uzyskać coś od innej osoby, będę się śmiał(a) nawet jeśli opowie mi najbardziej idiotyczny kawał
55;Książka dotycząca historii nauki czy techniki na pewno mocno by mnie znudziła.  
56;Często zdarza się, że wytyczam sobie cel i wycofuję się zanim go osiągnę. 
57;Jestem raczej łagodny/łagodna gdy oceniam innych. 
58;Będąc w towarzystwie często jestem osobą, która wypowiada się w imieniu innych. 
59;Wyjątkowo rzadko zdarzają mi się kłopoty ze snem wynikające ze stresu lub niepokoju.
60;Nigdy nie przyjąłbym/przyjełabym łapówki, nawet gdyby była bardzo duża.
61;Ludzie mówią, że mam świetną wyobraźnię. 
62;Zawsze dbam o dokładność w pracy, nawet jeśli kosztuje mnie to dużo czasu.
63;Kiedy ludzie mówią mi, że nie mam racji, od razu mam ochotę się z nimi pokłócić. 
64;Bardziej podoba mi się praca wymagająca stałego kontaktu z ludźmi niż taka, w której pracuje się samemu.
65;Za każdym razem, kiedy się czymś martwię, mam ochotę podzielić się tym z drugim człowiekiem.
66;Chciał(a)bym, żeby ludzie zobaczyli jak jeżdżę luksusowym samochodem.
67;Myślę, że jestem trochę ekscentryczny.
68;Nie pozwalam, żeby moim zachowaniem rządziły chwilowe impulsy.
69;Nie daję się tak łatwo rozzłościć jak większość ludzi.
70;Ludzie często powtarzają, że powinienem/powinnam się rozchmurzyć.
71;Mocno przeżywam kiedy bliska osoba wyjeżdża na dłuższy czas.
72;Myślę, że należy mi się więcej szacunku niż przeciętnej osobie.
73;Niekiedy sprawia mi przyjemność gdy po prostu patrzę jak rośnie trawa. 
74;Czasem mam problemy z pracą wynikające z tego, że jestem niezorganizowany/niezorganizowana.
75;Nie potrafię całkowicie przebaczyć osobie, która zrobiła mi przykrość. 
76;Czasem wydaje mi się, że jestem zupełnie beznadziejny/beznadziejna. 
77;Nawet w sytuacji alarmowej, nie poddał(a)bym się panice.
78;Nie udawał(a)bym, że kogoś lubię, tylko po to, aby uzyskać coś od tej osoby.
79;Przeglądanie encyklopedii nigdy nie sprawiało mi przyjemności. 
80;W pracy wykonuję zawsze tylko minimum tego, czego ode mnie wymagają. 
81;Nawet jeśli ludzie popełniają dużo błędów, rzadko wypowiadam się krytycznie.
82;Czuję się zwykle skrępowany/skrępowana, gdy muszę przemawiać do grupy ludzi.
83;Jestem bardzo niespokojny/niespokojna, gdy czekam na jakąś ważną decyzję.
84;Miał(a)bym pokusę posłużyć się fałszywymi pieniędzmi, gdybym miał(a) pewność, że to się nie wyda.
85;Nie myślę o sobie jako o osobie twórczej czy artyście/artystce. 
86;Ludzie często nazywają mnie perfekcjonist(k)ą.
87;Trudno mi przyjąć kompromisowe rozwiązanie, gdy czuję, że to ja mam rację. 
88;Pierwszą rzeczą, jaką robię w nowym miejscu jest znalezienie przyjaciół.
89;Rzadko rozmawiam z innymi o swoich problemach.
90;Posiadanie czegoś luksusowego i naprawdę kosztownego sprawiłoby mi mnóstwo przyjemności. 
91;Nudzą mnie filozoficzne dyskusje. 
92;Zamiast trzymać się ustalonego planu, wolę robić to, co przyjdzie mi akurat  do głowy.
93;Trudno mi utrzymać nerwy na wodzy gdy ktoś mnie obraża.
94;Nie jestem tak dynamiczna/y i energiczna/y jak większość ludzi. 
95;Pozostaję opanowany nawet w sytuacjach, w których inni robią się bardzo sentymentalni. 
96;Chciał(a)bym, żeby ludzie wiedzieli, że jestem kimś ważnym. 
97;Martwię się losem ludzi, którym powiodło się w życiu gorzej niż mnie.
98;Staram się wspomagać hojnie tych, którzy tego potrzebują.
99;Nie miał(a)bym problemów z tym, aby zrobić przykrość osobie, której nie lubię.
100;Mam opinię osoby nieczułej. 
